timestamp,staypoint_subzone,total_stay,total_stay_duration
2018-02-22T00:00:00.000+08:00,SBSZ05,1679,770163
2018-02-22T01:00:00.000+08:00,SBSZ05,390,158201
2018-02-22T02:00:00.000+08:00,SBSZ05,101,26636
2018-02-22T03:00:00.000+08:00,SBSZ05,73,14974
2018-02-22T04:00:00.000+08:00,SBSZ05,57,9788
2018-02-22T05:00:00.000+08:00,SBSZ05,97,20463
2018-02-22T06:00:00.000+08:00,SBSZ05,178,41499
2018-02-22T07:00:00.000+08:00,SBSZ05,463,118157
2018-02-22T08:00:00.000+08:00,SBSZ05,494,127252
2018-02-22T09:00:00.000+08:00,SBSZ05,356,87075
2018-02-22T10:00:00.000+08:00,SBSZ05,304,46493
2018-02-22T11:00:00.000+08:00,SBSZ05,275,43513
2018-02-22T12:00:00.000+08:00,SBSZ05,231,43702
2018-02-22T13:00:00.000+08:00,SBSZ05,265,50520
2018-02-22T14:00:00.000+08:00,SBSZ05,296,49230
2018-02-22T15:00:00.000+08:00,SBSZ05,301,52783
2018-02-22T16:00:00.000+08:00,SBSZ05,286,49449
2018-02-22T17:00:00.000+08:00,SBSZ05,377,60593
2018-02-22T18:00:00.000+08:00,SBSZ05,487,84151
2018-02-22T19:00:00.000+08:00,SBSZ05,521,82863
2018-02-22T20:00:00.000+08:00,SBSZ05,427,54914
2018-02-22T21:00:00.000+08:00,SBSZ05,371,35113
2018-02-22T22:00:00.000+08:00,SBSZ05,261,16764
2018-02-22T23:00:00.000+08:00,SBSZ05,139,4192
2018-02-22T00:00:00.000+08:00,PLSZ04,1260,306400
2018-02-22T01:00:00.000+08:00,PLSZ04,494,101304
2018-02-22T02:00:00.000+08:00,PLSZ04,209,27253
2018-02-22T03:00:00.000+08:00,PLSZ04,177,21485
2018-02-22T04:00:00.000+08:00,PLSZ04,165,14571
2018-02-22T05:00:00.000+08:00,PLSZ04,205,20471
2018-02-22T06:00:00.000+08:00,PLSZ04,294,33898
2018-02-22T07:00:00.000+08:00,PLSZ04,856,135081
2018-02-22T08:00:00.000+08:00,PLSZ04,929,110642
2018-02-22T09:00:00.000+08:00,PLSZ04,821,79880
2018-02-22T10:00:00.000+08:00,PLSZ04,705,54568
2018-02-22T11:00:00.000+08:00,PLSZ04,697,58055
2018-02-22T12:00:00.000+08:00,PLSZ04,730,61766
2018-02-22T13:00:00.000+08:00,PLSZ04,756,64044
2018-02-22T14:00:00.000+08:00,PLSZ04,733,59849
2018-02-22T15:00:00.000+08:00,PLSZ04,776,53852
2018-02-22T16:00:00.000+08:00,PLSZ04,663,44314
2018-02-22T17:00:00.000+08:00,PLSZ04,518,39244
2018-02-22T18:00:00.000+08:00,PLSZ04,506,47929
2018-02-22T19:00:00.000+08:00,PLSZ04,563,51281
2018-02-22T20:00:00.000+08:00,PLSZ04,529,46577
2018-02-22T21:00:00.000+08:00,PLSZ04,481,34995
2018-02-22T22:00:00.000+08:00,PLSZ04,464,25051
2018-02-22T23:00:00.000+08:00,PLSZ04,221,6256
2018-02-22T00:00:00.000+08:00,BMSZ07,4081,1974827
2018-02-22T01:00:00.000+08:00,BMSZ07,994,468973
2018-02-22T02:00:00.000+08:00,BMSZ07,278,70504
2018-02-22T03:00:00.000+08:00,BMSZ07,186,41824
2018-02-22T04:00:00.000+08:00,BMSZ07,225,43402
2018-02-22T05:00:00.000+08:00,BMSZ07,277,52938
2018-02-22T06:00:00.000+08:00,BMSZ07,690,159621
2018-02-22T07:00:00.000+08:00,BMSZ07,1770,426332
2018-02-22T08:00:00.000+08:00,BMSZ07,2892,735358
2018-02-22T09:00:00.000+08:00,BMSZ07,2774,568680
2018-02-22T10:00:00.000+08:00,BMSZ07,2354,382502
2018-02-22T11:00:00.000+08:00,BMSZ07,2336,296130
2018-02-22T12:00:00.000+08:00,BMSZ07,2392,264806
2018-02-22T13:00:00.000+08:00,BMSZ07,2017,240363
2018-02-22T14:00:00.000+08:00,BMSZ07,2093,243039
2018-02-22T15:00:00.000+08:00,BMSZ07,1945,233798
2018-02-22T16:00:00.000+08:00,BMSZ07,1813,213563
2018-02-22T17:00:00.000+08:00,BMSZ07,1863,228638
2018-02-22T18:00:00.000+08:00,BMSZ07,2286,279910
2018-02-22T19:00:00.000+08:00,BMSZ07,2056,239110
2018-02-22T20:00:00.000+08:00,BMSZ07,1478,152946
2018-02-22T21:00:00.000+08:00,BMSZ07,1108,97089
2018-02-22T22:00:00.000+08:00,BMSZ07,782,46179
2018-02-22T23:00:00.000+08:00,BMSZ07,294,8415
2018-02-22T00:00:00.000+08:00,BMSZ06,718,308535
2018-02-22T01:00:00.000+08:00,BMSZ06,149,61779
2018-02-22T02:00:00.000+08:00,BMSZ06,40,6418
2018-02-22T03:00:00.000+08:00,BMSZ06,40,3941
2018-02-22T04:00:00.000+08:00,BMSZ06,40,5578
2018-02-22T05:00:00.000+08:00,BMSZ06,41,11141
2018-02-22T06:00:00.000+08:00,BMSZ06,181,44806
2018-02-22T07:00:00.000+08:00,BMSZ06,433,107328
2018-02-22T08:00:00.000+08:00,BMSZ06,379,81776
2018-02-22T09:00:00.000+08:00,BMSZ06,367,64581
2018-02-22T10:00:00.000+08:00,BMSZ06,261,33517
2018-02-22T11:00:00.000+08:00,BMSZ06,240,35221
2018-02-22T12:00:00.000+08:00,BMSZ06,184,27028
2018-02-22T13:00:00.000+08:00,BMSZ06,259,35351
2018-02-22T14:00:00.000+08:00,BMSZ06,271,36890
2018-02-22T15:00:00.000+08:00,BMSZ06,224,31799
2018-02-22T16:00:00.000+08:00,BMSZ06,204,26900
2018-02-22T17:00:00.000+08:00,BMSZ06,246,35183
2018-02-22T18:00:00.000+08:00,BMSZ06,286,37743
2018-02-22T19:00:00.000+08:00,BMSZ06,252,35623
2018-02-22T20:00:00.000+08:00,BMSZ06,211,24096
2018-02-22T21:00:00.000+08:00,BMSZ06,181,15916
2018-02-22T22:00:00.000+08:00,BMSZ06,130,7867
2018-02-22T23:00:00.000+08:00,BMSZ06,62,1732
2018-02-22T00:00:00.000+08:00,GLSZ04,17032,7098173
2018-02-22T01:00:00.000+08:00,GLSZ04,4139,1507256
2018-02-22T02:00:00.000+08:00,GLSZ04,1253,283331
2018-02-22T03:00:00.000+08:00,GLSZ04,995,193941
2018-02-22T04:00:00.000+08:00,GLSZ04,771,163843
2018-02-22T05:00:00.000+08:00,GLSZ04,942,178374
2018-02-22T06:00:00.000+08:00,GLSZ04,2272,487505
2018-02-22T07:00:00.000+08:00,GLSZ04,4574,845286
2018-02-22T08:00:00.000+08:00,GLSZ04,5774,1106184
2018-02-22T09:00:00.000+08:00,GLSZ04,5474,883948
2018-02-22T10:00:00.000+08:00,GLSZ04,5171,712399
2018-02-22T11:00:00.000+08:00,GLSZ04,5314,641556
2018-02-22T12:00:00.000+08:00,GLSZ04,5936,672073
2018-02-22T13:00:00.000+08:00,GLSZ04,5138,576926
2018-02-22T14:00:00.000+08:00,GLSZ04,5017,595058
2018-02-22T15:00:00.000+08:00,GLSZ04,4952,582706
2018-02-22T16:00:00.000+08:00,GLSZ04,4944,594171
2018-02-22T17:00:00.000+08:00,GLSZ04,5570,714975
2018-02-22T18:00:00.000+08:00,GLSZ04,7557,974684
2018-02-22T19:00:00.000+08:00,GLSZ04,7911,959117
2018-02-22T20:00:00.000+08:00,GLSZ04,6107,641513
2018-02-22T21:00:00.000+08:00,GLSZ04,5345,458068
2018-02-22T22:00:00.000+08:00,GLSZ04,4126,240164
2018-02-22T23:00:00.000+08:00,GLSZ04,1770,50699
2018-02-22T00:00:00.000+08:00,BTSZ01,4548,2081511
2018-02-22T01:00:00.000+08:00,BTSZ01,1095,456683
2018-02-22T02:00:00.000+08:00,BTSZ01,286,59036
2018-02-22T03:00:00.000+08:00,BTSZ01,293,45448
2018-02-22T04:00:00.000+08:00,BTSZ01,265,37258
2018-02-22T05:00:00.000+08:00,BTSZ01,370,56310
2018-02-22T06:00:00.000+08:00,BTSZ01,853,151981
2018-02-22T07:00:00.000+08:00,BTSZ01,1843,386754
2018-02-22T08:00:00.000+08:00,BTSZ01,3248,720116
2018-02-22T09:00:00.000+08:00,BTSZ01,2376,431755
2018-02-22T10:00:00.000+08:00,BTSZ01,2349,393718
2018-02-22T11:00:00.000+08:00,BTSZ01,3016,482038
2018-02-22T12:00:00.000+08:00,BTSZ01,2892,421648
2018-02-22T13:00:00.000+08:00,BTSZ01,2286,285125
2018-02-22T14:00:00.000+08:00,BTSZ01,2245,290964
2018-02-22T15:00:00.000+08:00,BTSZ01,2483,323050
2018-02-22T16:00:00.000+08:00,BTSZ01,2111,246005
2018-02-22T17:00:00.000+08:00,BTSZ01,2574,294794
2018-02-22T18:00:00.000+08:00,BTSZ01,3807,446948
2018-02-22T19:00:00.000+08:00,BTSZ01,3047,337771
2018-02-22T20:00:00.000+08:00,BTSZ01,1906,178604
2018-02-22T21:00:00.000+08:00,BTSZ01,1667,129286
2018-02-22T22:00:00.000+08:00,BTSZ01,1206,66637
2018-02-22T23:00:00.000+08:00,BTSZ01,532,16172
2018-02-22T00:00:00.000+08:00,SESZ04,5891,2665207
2018-02-22T01:00:00.000+08:00,SESZ04,1405,569763
2018-02-22T02:00:00.000+08:00,SESZ04,362,86424
2018-02-22T03:00:00.000+08:00,SESZ04,263,55687
2018-02-22T04:00:00.000+08:00,SESZ04,194,33201
2018-02-22T05:00:00.000+08:00,SESZ04,350,63063
2018-02-22T06:00:00.000+08:00,SESZ04,948,212354
2018-02-22T07:00:00.000+08:00,SESZ04,1935,510333
2018-02-22T08:00:00.000+08:00,SESZ04,1663,416633
2018-02-22T09:00:00.000+08:00,SESZ04,1331,259303
2018-02-22T10:00:00.000+08:00,SESZ04,1091,181133
2018-02-22T11:00:00.000+08:00,SESZ04,1095,172354
2018-02-22T12:00:00.000+08:00,SESZ04,1037,157169
2018-02-22T13:00:00.000+08:00,SESZ04,1310,196177
