timestamp,subzone,total_stay
2018-02-25T09:45:00.000+08:00,BDSZ08,4284
2018-02-25T09:45:00.000+08:00,BDSZ04,33592
2018-02-25T09:45:00.000+08:00,BDSZ02,6942
2018-02-25T09:45:00.000+08:00,BDSZ06,20531
2018-02-25T09:45:00.000+08:00,RCSZ09,4051
2018-02-25T09:45:00.000+08:00,KLSZ01,16081
2018-02-25T09:45:00.000+08:00,PNSZ03,3881
2018-02-25T09:45:00.000+08:00,TPSZ10,1332
2018-02-25T09:45:00.000+08:00,BSSZ03,15009
2018-02-25T09:45:00.000+08:00,SRSZ03,2206
2018-02-25T09:45:00.000+08:00,KLSZ03,2568
2018-02-25T09:45:00.000+08:00,JWSZ02,11884
2018-02-25T09:45:00.000+08:00,TPSZ04,4941
2018-02-25T09:45:00.000+08:00,ORSZ02,21076
2018-02-25T09:45:00.000+08:00,TPSZ03,6168
2018-02-25T09:45:00.000+08:00,MUSZ03,2886
2018-02-25T09:45:00.000+08:00,BKSZ03,130
2018-02-25T09:45:00.000+08:00,DTSZ01,8902
2018-02-25T09:45:00.000+08:00,BKSZ07,10395
2018-02-25T09:45:00.000+08:00,BKSZ08,7547
2018-02-25T09:45:00.000+08:00,BKSZ09,8316
2018-02-25T09:45:00.000+08:00,BKSZ06,5623
2018-02-25T09:45:00.000+08:00,BMSZ09,8645
2018-02-25T09:45:00.000+08:00,BMSZ02,3983
2018-02-25T09:45:00.000+08:00,NTSZ04,6446
2018-02-25T09:45:00.000+08:00,DTSZ08,4046
2018-02-25T09:45:00.000+08:00,DTSZ11,3036
2018-02-25T09:45:00.000+08:00,CCSZ01,7740
2018-02-25T09:45:00.000+08:00,CHSZ03,71964
2018-02-25T09:45:00.000+08:00,CBSZ01,2126
2018-02-25T09:45:00.000+08:00,CHSZ01,2730
2018-02-25T09:45:00.000+08:00,CHSZ02,11152
2018-02-25T09:45:00.000+08:00,TNSZ02,6391
2018-02-25T09:45:00.000+08:00,AMSZ02,11421
2018-02-25T09:45:00.000+08:00,JWSZ05,2101
2018-02-25T09:45:00.000+08:00,OTSZ04,2715
2018-02-25T09:45:00.000+08:00,OTSZ03,10565
2018-02-25T09:45:00.000+08:00,CKSZ03,8135
2018-02-25T09:45:00.000+08:00,CKSZ05,9181
2018-02-25T09:45:00.000+08:00,AMSZ03,11578
2018-02-25T09:45:00.000+08:00,DTSZ02,15115
2018-02-25T09:45:00.000+08:00,BMSZ17,4367
2018-02-25T09:45:00.000+08:00,SRSZ02,5482
2018-02-25T09:45:00.000+08:00,CLSZ06,9623
2018-02-25T09:45:00.000+08:00,CLSZ04,9856
2018-02-25T09:45:00.000+08:00,CLSZ08,6391
2018-02-25T09:45:00.000+08:00,CLSZ07,6404
2018-02-25T09:45:00.000+08:00,DTSZ06,1917
2018-02-25T09:45:00.000+08:00,QTSZ03,2568
2018-02-25T09:45:00.000+08:00,SESZ05,7491
2018-02-25T09:45:00.000+08:00,PGSZ07,40
2018-02-25T09:45:00.000+08:00,BTSZ06,6245
2018-02-25T09:45:00.000+08:00,KLSZ09,8374
2018-02-25T09:45:00.000+08:00,BPSZ06,3139
2018-02-25T09:45:00.000+08:00,HGSZ09,1797
2018-02-25T09:45:00.000+08:00,BMSZ12,1432
2018-02-25T09:45:00.000+08:00,MUSZ01,6245
2018-02-25T09:45:00.000+08:00,QTSZ10,8188
2018-02-25T09:45:00.000+08:00,NVSZ04,3556
2018-02-25T09:45:00.000+08:00,BMSZ16,7987
2018-02-25T09:45:00.000+08:00,CLSZ03,1922
2018-02-25T09:45:00.000+08:00,BPSZ03,7834
2018-02-25T09:45:00.000+08:00,BTSZ08,3255
2018-02-25T09:45:00.000+08:00,RCSZ01,8743
2018-02-25T09:45:00.000+08:00,SESZ06,12389
2018-02-25T09:45:00.000+08:00,PRSZ08,4400
2018-02-25T09:45:00.000+08:00,MUSZ02,1877
2018-02-25T09:45:00.000+08:00,BDSZ05,17187
2018-02-25T09:45:00.000+08:00,SKSZ03,5115
2018-02-25T09:45:00.000+08:00,KLSZ02,5837
2018-02-25T09:45:00.000+08:00,GLSZ05,23954
2018-02-25T09:45:00.000+08:00,QTSZ01,5238
2018-02-25T09:45:00.000+08:00,BKSZ01,6404
2018-02-25T09:45:00.000+08:00,NTSZ02,1832
2018-02-25T09:45:00.000+08:00,WDSZ07,1293
2018-02-25T09:45:00.000+08:00,BKSZ04,3106
2018-02-25T09:45:00.000+08:00,PNSZ04,1589
2018-02-25T09:45:00.000+08:00,PNSZ02,2930
2018-02-25T09:45:00.000+08:00,BMSZ08,5220
2018-02-25T09:45:00.000+08:00,BTSZ05,6618
2018-02-25T09:45:00.000+08:00,BKSZ05,7298
2018-02-25T09:45:00.000+08:00,QTSZ02,4284
2018-02-25T09:45:00.000+08:00,BTSZ03,4739
2018-02-25T09:45:00.000+08:00,JWSZ03,15382
2018-02-25T09:45:00.000+08:00,BKSZ02,9928
2018-02-25T09:45:00.000+08:00,HGSZ01,4558
2018-02-25T09:45:00.000+08:00,HGSZ03,7800
2018-02-25T09:45:00.000+08:00,HGSZ04,13477
